"sampleid","investigation","sample_type","disease_type","platform","experimental_strategy","data_submitting_center_label"
"s8409","TCGA-LGG","Primary Tumor","Brain Lower Grade Glioma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s8322","TCGA-LGG","Blood Derived Normal","Brain Lower Grade Glioma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s8401","TCGA-LGG","Primary Tumor","Brain Lower Grade Glioma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s8498","TCGA-LGG","Primary Tumor","Brain Lower Grade Glioma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s8413","TCGA-LGG","Primary Tumor","Brain Lower Grade Glioma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s8342","TCGA-LGG","Primary Tumor","Brain Lower Grade Glioma","Illumina HiSeq","WGS","Harvard Medical School"
"s8495","TCGA-LGG","Primary Tumor","Brain Lower Grade Glioma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s8347","TCGA-LGG","Primary Tumor","Brain Lower Grade Glioma","Illumina HiSeq","WGS","Harvard Medical School"
"s8482","TCGA-LGG","Primary Tumor","Brain Lower Grade Glioma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s8424","TCGA-LGG","Primary Tumor","Brain Lower Grade Glioma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s8391","TCGA-LGG","Primary Tumor","Brain Lower Grade Glioma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s8366","TCGA-LGG","Primary Tumor","Brain Lower Grade Glioma","Illumina HiSeq","WGS","Harvard Medical School"
"s8519","TCGA-LGG","Primary Tumor","Brain Lower Grade Glioma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s8340","TCGA-LGG","Blood Derived Normal","Brain Lower Grade Glioma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s8458","TCGA-LGG","Primary Tumor","Brain Lower Grade Glioma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s8425","TCGA-LGG","Primary Tumor","Brain Lower Grade Glioma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s8353","TCGA-LGG","Primary Tumor","Brain Lower Grade Glioma","Illumina HiSeq","WGS","Harvard Medical School"
"s8492","TCGA-LGG","Primary Tumor","Brain Lower Grade Glioma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s8397","TCGA-LGG","Primary Tumor","Brain Lower Grade Glioma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s8403","TCGA-LGG","Primary Tumor","Brain Lower Grade Glioma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s8414","TCGA-LGG","Primary Tumor","Brain Lower Grade Glioma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s8336","TCGA-LGG","Primary Tumor","Brain Lower Grade Glioma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s8493","TCGA-LGG","Primary Tumor","Brain Lower Grade Glioma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s8332","TCGA-LGG","Blood Derived Normal","Brain Lower Grade Glioma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s8448","TCGA-LGG","Recurrent Tumor","Brain Lower Grade Glioma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s8466","TCGA-LGG","Primary Tumor","Brain Lower Grade Glioma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s8428","TCGA-LGG","Primary Tumor","Brain Lower Grade Glioma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s8436","TCGA-LGG","Primary Tumor","Brain Lower Grade Glioma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s8399","TCGA-LGG","Primary Tumor","Brain Lower Grade Glioma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s8371","TCGA-LGG","Blood Derived Normal","Brain Lower Grade Glioma","Illumina HiSeq","WGS","Harvard Medical School"
"s8499","TCGA-LGG","Primary Tumor","Brain Lower Grade Glioma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s8475","TCGA-LGG","Primary Tumor","Brain Lower Grade Glioma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s8329","TCGA-LGG","Primary Tumor","Brain Lower Grade Glioma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s7860","TCGA-SKCM","Blood Derived Normal","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7911","TCGA-SKCM","Primary Tumor","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7939","TCGA-SKCM","Primary Tumor","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7978","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7915","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7859","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7972","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7903","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7964","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7827","TCGA-SKCM","Blood Derived Normal","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7844","TCGA-SKCM","Primary Tumor","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7821","TCGA-SKCM","Blood Derived Normal","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s7896","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7867","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7832","TCGA-SKCM","Blood Derived Normal","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7965","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7929","TCGA-SKCM","Primary Tumor","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7883","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7946","TCGA-SKCM","Primary Tumor","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7960","TCGA-SKCM","Primary Tumor","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7830","TCGA-SKCM","Blood Derived Normal","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7840","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7868","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7853","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7934","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7932","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7940","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7950","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7876","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7949","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7838","TCGA-SKCM","Blood Derived Normal","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7861","TCGA-SKCM","Primary Tumor","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7962","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7866","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7968","TCGA-SKCM","Primary Tumor","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7858","TCGA-SKCM","Blood Derived Normal","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7912","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7812","TCGA-SKCM","Blood Derived Normal","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s7982","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7820","TCGA-SKCM","Blood Derived Normal","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s7891","TCGA-SKCM","Primary Tumor","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7843","TCGA-SKCM","Blood Derived Normal","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7925","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7953","TCGA-SKCM","Primary Tumor","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7945","TCGA-SKCM","Primary Tumor","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7977","TCGA-SKCM","Primary Tumor","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7841","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7811","TCGA-SKCM","Blood Derived Normal","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s7969","TCGA-SKCM","Additional Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7924","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7904","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7906","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7967","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7930","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7878","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7887","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7958","TCGA-SKCM","Primary Tumor","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7916","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7922","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7942","TCGA-SKCM","Primary Tumor","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7882","TCGA-SKCM","Primary Tumor","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7808","TCGA-SKCM","Blood Derived Normal","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s7913","TCGA-SKCM","Primary Tumor","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7864","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7947","TCGA-SKCM","Primary Tumor","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7828","TCGA-SKCM","Blood Derived Normal","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7814","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s7959","TCGA-SKCM","Primary Tumor","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7816","TCGA-SKCM","Blood Derived Normal","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s7908","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7935","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7863","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7877","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7951","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7980","TCGA-SKCM","Primary Tumor","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7839","TCGA-SKCM","Blood Derived Normal","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7955","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7914","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7917","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7837","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7810","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s7910","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7888","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7898","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7894","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7870","TCGA-SKCM","Blood Derived Normal","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7846","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7850","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7874","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7856","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7974","TCGA-SKCM","Primary Tumor","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7854","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7931","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7938","TCGA-SKCM","Primary Tumor","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7834","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7851","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7963","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7893","TCGA-SKCM","Primary Tumor","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7822","TCGA-SKCM","Blood Derived Normal","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s7973","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7852","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7899","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7921","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7905","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7892","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7970","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7873","TCGA-SKCM","Blood Derived Normal","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7847","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7948","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7901","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7895","TCGA-SKCM","Primary Tumor","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7933","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7936","TCGA-SKCM","Primary Tumor","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7944","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7836","TCGA-SKCM","Blood Derived Normal","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7957","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7885","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7817","TCGA-SKCM","Blood Derived Normal","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s7927","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7884","TCGA-SKCM","Primary Tumor","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7981","TCGA-SKCM","Primary Tumor","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7979","TCGA-SKCM","Primary Tumor","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7918","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7824","TCGA-SKCM","Blood Derived Normal","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s7928","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7809","TCGA-SKCM","Blood Derived Normal","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s7926","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7862","TCGA-SKCM","Primary Tumor","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7865","TCGA-SKCM","Blood Derived Normal","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7886","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7971","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7961","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7889","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7975","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7920","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7857","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7829","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7881","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7815","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s7833","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7835","TCGA-SKCM","Blood Derived Normal","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7966","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7941","TCGA-SKCM","Primary Tumor","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7825","TCGA-SKCM","Primary Tumor","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7923","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7813","TCGA-SKCM","Blood Derived Normal","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s7880","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7871","TCGA-SKCM","Blood Derived Normal","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7855","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7897","TCGA-SKCM","Primary Tumor","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7831","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7956","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7902","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7818","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s7954","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7875","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7890","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7872","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7823","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s7879","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7848","TCGA-SKCM","Blood Derived Normal","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7937","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7952","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7907","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7900","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7845","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7919","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7819","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s7943","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7976","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7909","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7849","TCGA-SKCM","Blood Derived Normal","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7826","TCGA-SKCM","Blood Derived Normal","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7842","TCGA-SKCM","Blood Derived Normal","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7869","TCGA-SKCM","Blood Derived Normal","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7709","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7708","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7726","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7731","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7805","TCGA-SKCM","Primary Tumor","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7659","TCGA-SKCM","Blood Derived Normal","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s7734","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7753","TCGA-SKCM","Metastatic","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7676","TCGA-SKCM","Blood Derived Normal","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Harvard Medical School"
"s7806","TCGA-SKCM","Primary Tumor","Skin Cutaneous Melanoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s7650","TCGA-SKCM","Blood Derived Normal","Skin Cutaneous Melanoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
